"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 16:24:56 IST 2022","Tue Dec 20 16:25:02 IST 2022","5655","chromium","myfirsttest.spec.js","","","","Non-Input File Upload",""
"failed","Tue Dec 20 16:24:56 IST 2022","Tue Dec 20 16:25:01 IST 2022","5294","chromium","myfirsttest.spec.js","","","","Shadow DOM",""
